InternalName,卡牌名称,胜率,选取率,略过率
BladeOfInk,墨之刃,61.9,20.8,79.2
PhantomBlades,幻影之刃,61.7,10.9,89.1
Folly,愚行,84.2,0,0.0
MadScience,疯狂科学,83.9,0,0.0
BadLuck,霉运,81.5,0,0.0
Shame,羞耻,75.4,0,0.0
Regret,悔恨,74.0,0,0.0
Decay,腐朽,71.0,0.0,0.0
Enthralled,执迷,71.0,0,0.0
Doubt,疑虑,69.2,0,0.0
CurseOfTheBell,铃铛的诅咒,65.8,0,0.0
Writhe,苦恼,64.4,0,0.0
Debt,债务,64.0,0.0,0.0
UltimateStrike,究极打击,55.6,1.0,99.0
Restlessness,心神不宁,54.6,2.7,97.3
Coordinate,协同配合,54.0,2.2,97.8
PrepTime,准备时间,52.8,1.5,98.5
Intercept,拦截,52.7,1.3,98.7
Lift,托举,52.2,1.5,98.5
MindBlast,心灵震慑,52.0,0.9,99.1
Fasten,勒紧,51.9,2.0,98.0
Discovery,发现,51.7,3.0,97.0
Volley,连射,51.4,0.8,99.2
PanicButton,应急按钮,51.2,0.9,99.1
KnockoutBlow,决胜一击,34.5,14.7,85.3
CrushUnder,下砸,34.3,9.4,90.6
KinglyPunch,王者之拳,34.2,8.4,91.6
RefineBlade,淬炼刀刃,33.7,18.8,81.2
CollisionCourse,碰撞轨迹,33.5,2.4,97.6
CelestialMight,天穹之力,33.1,3.1,96.9
WroughtInWar,战火铸就,29.1,13.2,86.8
Venerate,崇拜,28.2,100.0,0.0
FallingStar,陨星,26.9,100.0,0.0
Stack,堆栈,40.6,0.0,100.0
HelloWorld,你好世界,39.8,0,0
Enlightenment,开悟,38.5,0,0
DualWield,双持,38.3,0.0,100.0
ByrdSwoop,异鸟扑击,36.2,62.5,37.5
Entrench,巩固,35.1,0.0,100.0
ToricToughness,坚韧之环,31.9,13.5,86.5
Clash,交锋,31.5,0.0,100.0
Peck,啄击,31.2,2.9,97.1
SporeMind,孢子心灵,30.5,0,0.0
Soul,灵魂,50.0,0,0.0
ShiningStrike,明耀打击,43.2,26.0,74.0
Resonance,共鸣,42.8,14.3,85.7
PhotonCut,光子切割,42.4,11.7,88.3
HiddenCache,隐秘藏品,42.3,27.2,72.8
CloakOfStars,群星斗篷,42.3,16.3,83.7
Conqueror,征服者,41.6,30.9,69.1
SummonForth,征召上前,41.5,33.9,66.1
HeirloomHammer,传承之锤,40.9,9.8,90.2
PillarOfCreation,创世之柱,40.8,6.3,93.7
GatherLight,收集光辉,40.6,22.3,77.7
GuidingStar,引导之星,40.0,10.0,90.0
Production,生产制造,59.5,8.2,91.8
Prowess,非凡技艺,59.4,2.4,97.6
Panache,神气制胜,59.0,3.1,96.9
DarkShackles,黑暗镣铐,58.0,2.7,97.3
UltimateDefend,究极防御,57.9,1.3,98.7
GangUp,群起攻之,57.9,2.3,97.7
Stratagem,计策,57.2,1.8,98.2
Catastrophe,横祸,57.1,1.2,98.8
RollingBoulder,滚石,56.7,0.3,99.7
TheGambit,孤注一掷,56.7,0.3,99.7
Prolong,延伸,56.5,2.3,97.7
